"통계분류(1)",통계분류(2),2015,2017,2019,2021
"통계분류(1)",통계분류(2),안읽음,안읽음,안읽음,안읽음
"전체",소계,34.7,40.1,47.9,59.3
"성별",남성,34.5,41.8,49.6,59.6
"성별",여성,34.8,38.5,46.1,58.9
"연령별",19~29세,13.4,26.5,29.6,39.7
"연령별",30~39세,22.9,31.1,31.3,43.7
"연령별",40~49세,27.8,38.1,42.4,55.6
"연령별",50~59세,39.8,47.8,56.5,66.1
"연령별",60세 이상,63.1,52.2,68.5,77.3
"학력별",중졸 이하,69.2,55.8,79.4,88
"학력별",고졸 고퇴,38.1,50.7,61,70.8
"학력별",대재 이상,17.4,26.9,28.3,42.3
"가구소득별",200만원 미만,57.2,50.9,70.9,81.1
"가구소득별",200~300만원미만,38.1,47.5,54.4,71.8
"가구소득별",300~400만원미만,33.1,41.2,50.2,60.7
"가구소득별",400~500만원 미만,27.7,34.4,42.1,54
"가구소득별",500만원 이상,16.5,27.6,29.7,45.2
